UCR Research 2010
Statics adn Free-Body Diagrams
Body 0 Blue
ForceArrow 1 Orange
MomentArrow 2 Aqua
DoubleShaftArrow 3 Brown
PointerArrow 4 DarkCyan
DimensionArrow 5 DarkOliveGreen
OtherArrow 6 Purple
CoordSystem 7 Navy
LeaderLine 8 DarkGreen
Arc 9 DarkRed
Point 10 Red
ForceLabel 11 Violet
MomentLabel 12 Coral
AngleLabel 13 Pink
DimensionLabel 14 Gold
LocationLabel 15 Gray
AxisLabel 16 GreenYellow
OtherLabel 17 HotPink
EquationType 18 DarkBlue
ForceEquilEquation 19 Maroon
MomentEquilEquation 20 LawnGreen
GeomTrigEquation 21 LightBlue
OtherEquation 22 OliveDrab
OtherText 23 Plum
Divider 24 Tan
Ellipses 25 Teal
Box 26 Turquoise
Triangle 27 Chartreuse
AngleSquare 28 Cornsilk
Angle 29 Lavender
OtherGeometry 30 LightGreen
Other 31 OrangeRed
